帖子id,机器人状态,人的形象,帖子链接,一级评论次数,二级评论次数,matched_xhs_id,帖子标题,帖子正文
7540927387400277270,,,https://www.tiktok.com/@lachicaskynet/video/7540927387400277270,277,142,,#olimpiadas de #robotshumanoid,#olimpiadas de #robotshumanoides #core #neocotilleos #beijing2025 
7628590791543360781,,,https://www.tiktok.com/@zhe.robots/video/7628590791543360781,6,0,,Soooo tiny robots are also par,Soooo tiny robots are also participating the marathon race🥹🥹soooo cute how can they battle with the giant guys🥹🥹🥹#robot #China #funny #marathon #beijing 
7545771550088121622,,,https://www.tiktok.com/@bbcnews/video/7545771550088121622,380,1367,,"The ""robot wolves"" are capable","The ""robot wolves"" are capable of frontline reconnaissance, delivering supplies and even launching precision strikes against targets, according to Chinese state media. #China #MilitaryParade #Beijing #Military #News #BBCNews"
7633050798611762439,,,https://www.tiktok.com/@lazovietnam1/video/7633050798611762439,131,17,,Cuộc thi marathon này nghe nó ,Cuộc thi marathon này nghe nó lạ lắm  #tintuc #lazo #trungquoc #giaitri #funny 
7620403060728286477,,,https://www.tiktok.com/@liuyusen0/video/7620403060728286477,428,65,,@ChinaLiuYusen I just can't ho,@ChinaLiuYusen I just can't hold it in anymore. I'm laughing so hard.#ShanghaiAWC #RobotMarathon #HumanoidRobot #Robotics #HumanoidRobotDancing 
7630307025888578837,,,https://www.tiktok.com/@john110316/video/7630307025888578837,79,13,,北京机器人马拉松！有拿着奶瓶的，有梳着脏辫的………😆😆😆😆😆,北京机器人马拉松！有拿着奶瓶的，有梳着脏辫的………😆😆😆😆😆 #China #chinatechnology #robot 
7631915628474993951,,,https://www.tiktok.com/@xinchen_gerald/video/7631915628474993951,0,0,,This robot ran a half marathon,"This robot ran a half marathon in China then got carried off on a stretcher, and now I’m low-key scared it’ll replace humans soon! #RobotMarathon #ChinaTech #HumanoidRobot #China #MadeinChina"
7634573354619407638,,,https://www.tiktok.com/@chinaliuyusen/video/7634573354619407638,136,41,,Engine AI T800 humanoid robot ,"Engine AI T800 humanoid robot × Shenzhen Traffic Police on duty Sci-fi becomes reality, Made in China guards the city🔥#T800 #robotics #automation #RobotMarathon #UnitreeRobotics "
7631046172836220191,,,https://www.tiktok.com/@americanunityparty/video/7631046172836220191,104,11,,Robot Speed Race #robot #techn,Robot Speed Race #robot #technology #science #work #speed 
7495070816300748052,,,https://www.tiktok.com/@shanghai9998/video/7495070816300748052,91,63,,Khu vực trao giải marathon ở B,Khu vực trao giải marathon ở Bắc Kinh về  phần trình diễn robot #robotics 
7538846508385307959,,,https://www.tiktok.com/@dailymail/video/7538846508385307959,390,316,,The world's first robot Olympi,"The world's first robot Olympics have officially kicked off in China this week. The three–day event, called the World Humanoid Robot Games, will see humanoid robots from 16 countries compete across a range of events. Read more at DailyMail. #news #china #robot #ai #tech "
7631148156712979732,,,https://www.tiktok.com/@beatvn_official/video/7631148156712979732,298,132,,Robot cute nhất giải chạy Mara,Robot cute nhất giải chạy Marathon Robot Trung Quốc #beatvn #beatnetwork #robot #china #marathon #hoangacid
7607517786457345294,,,https://www.tiktok.com/@businessblurb/video/7607517786457345294,2143,966,,Unitree humanoid robots rocked,"Unitree humanoid robots rocked the Spring Festival Gala in Beijing today with a dynamic routine of parkour, Drunken Fist, and nunchaku to celebrate Chinese New Year  #robot #techtok #ai #chinesenewyear #future "
7633414175414357278,,,https://www.tiktok.com/@chinesewithhazel/video/7633414175414357278,1,0,,You’ve seen F1 pit stops — but,You’ve seen F1 pit stops — but have you seen robot pit stops? The future is getting real. #RobotMarathon #FutureTech #ChinaTech #AI #Robotics #TechTrends 
7630878529126812950,,,https://www.tiktok.com/@chinaconmigo/video/7630878529126812950,29,3,,"En Yizhuang, Pekín, arrancó la","En Yizhuang, Pekín, arrancó la media maratón de robots humanoides 2026, donde máquinas de distintos equipos compartieron la misma pista con capacidades muy diversas; durante la carrera, cada robot se mueve según su propio sistema de control, mostrando distintos niveles de estabilidad y ritmo, lo que permite ver no solo robots corriendo, sino diferentes etapas tecnológicas coexistiendo en un mismo escenario. #robot #tecnologia #gracioso #maraton #humanoidrobot"
7637415124940115220,,,https://www.tiktok.com/@brighttv/video/7637415124940115220,81,36,,จีนเปิดตัว “ม้าหุ่นยนต์” Qiji ,จีนเปิดตัว “ม้าหุ่นยนต์” Qiji T1000 แบกน้ำหนักได้ 1 ตัน ตัวแรกของโลก พร้อมลุยทุกสถานการณ์ #QijiT1000 #DaxRobotics #ม้าหุ่นยนต์ #หุ่นยนต์จีน #เทคโนโลยีใหม่ #หุ่นยนต์อุตสาหกรรม #ข่าวเทคโนโลยี #RobotHorse #จีน #BrightTV
7632751871836343566,,,https://www.tiktok.com/@liuyusen0/video/7632751871836343566,29,2,,@ChinaLiuYusen #YizhuangRobotH,@ChinaLiuYusen #YizhuangRobotHalfMarathon #RobotMarathon #HumanoidRobotMarathon #Robotics #HumanoidRobot 
7618773442560625950,,,https://www.tiktok.com/@srk.malik2/video/7618773442560625950,1957,652,,#ballibotmogis#Trendingreels#T,#ballibotmogis#Trendingreels#Trendingreels#Foryoupage##FYP#ViralTiktok#milionviews#Techmagic#Smartbot#AITrend#robotvibes#Innovation
7630403809512115463,,,https://www.tiktok.com/@kelly.leeee8/video/7630403809512115463,221,107,,What will happen when Robots R,What will happen when Robots Run a Marathon...🤖 Which one you will pick🤣🤣🤣 #fyp #robotics #robotmarathon #techtrends #viralvideo
7630352228322233631,,,https://www.tiktok.com/@user8160240388209/video/7630352228322233631,3,0,,Check out the robot marathon i,Check out the robot marathon in China - so cute!
