excluded_post_id,robot_status,topic,delta_mean_share
69e43a5a000000001d01dcc7,强势,4,0.0
69e43a5a000000001d01dcc7,强势,5,0.0
69e43a5a000000001d01dcc7,强势,6,0.0
69e43a5a000000001d01dcc7,成功,0,0.0
69e43a5a000000001d01dcc7,成功,1,0.0
69e43a5a000000001d01dcc7,成功,2,0.0
69e43a5a000000001d01dcc7,成功,3,0.0
69e43a5a000000001d01dcc7,成功,4,0.0
69e43a5a000000001d01dcc7,成功,5,0.0
69e43a5a000000001d01dcc7,成功,6,0.0
69e4426b000000001d01c7ed,,0,0.0
69e4426b000000001d01c7ed,,1,0.0
69e4426b000000001d01c7ed,,2,0.0
69e4426b000000001d01c7ed,,3,0.0
69e4426b000000001d01c7ed,,4,0.0
69e4426b000000001d01c7ed,,5,0.0
69e4426b000000001d01c7ed,,6,0.0
69e4426b000000001d01c7ed,中性,0,-0.013169031412104196
69e4426b000000001d01c7ed,中性,1,0.00745766895432623
69e4426b000000001d01c7ed,中性,2,0.03190109337357372
69e4426b000000001d01c7ed,中性,3,-0.09594991598418418
69e4426b000000001d01c7ed,中性,4,0.04776267984757243
69e4426b000000001d01c7ed,中性,5,0.002760686515889829
69e4426b000000001d01c7ed,中性,6,0.01923681870492619
69e4426b000000001d01c7ed,失败,0,0.0
69e4426b000000001d01c7ed,失败,1,0.0
69e4426b000000001d01c7ed,失败,2,0.0
69e4426b000000001d01c7ed,失败,3,0.0
69e4426b000000001d01c7ed,失败,4,0.0
69e4426b000000001d01c7ed,失败,5,0.0
69e4426b000000001d01c7ed,失败,6,0.0
69e4426b000000001d01c7ed,弱势,0,0.0
69e4426b000000001d01c7ed,弱势,1,0.0
69e4426b000000001d01c7ed,弱势,2,0.0
69e4426b000000001d01c7ed,弱势,3,0.0
69e4426b000000001d01c7ed,弱势,4,0.0
69e4426b000000001d01c7ed,弱势,5,0.0
69e4426b000000001d01c7ed,弱势,6,0.0
69e4426b000000001d01c7ed,强势,0,0.0
69e4426b000000001d01c7ed,强势,1,0.0
69e4426b000000001d01c7ed,强势,2,0.0
69e4426b000000001d01c7ed,强势,3,0.0
69e4426b000000001d01c7ed,强势,4,0.0
69e4426b000000001d01c7ed,强势,5,0.0
69e4426b000000001d01c7ed,强势,6,0.0
69e4426b000000001d01c7ed,成功,0,0.0
69e4426b000000001d01c7ed,成功,1,0.0
69e4426b000000001d01c7ed,成功,2,0.0
69e4426b000000001d01c7ed,成功,3,0.0
69e4426b000000001d01c7ed,成功,4,0.0
69e4426b000000001d01c7ed,成功,5,0.0
69e4426b000000001d01c7ed,成功,6,0.0
69e44278000000001a0217bb,,0,0.0
69e44278000000001a0217bb,,1,0.0
69e44278000000001a0217bb,,2,0.0
69e44278000000001a0217bb,,3,0.0
69e44278000000001a0217bb,,4,0.0
69e44278000000001a0217bb,,5,0.0
69e44278000000001a0217bb,,6,0.0
