topic_cluster,post_category,relation_type,n_comments,n_hit_comments,hit_rate
4,失败|抢救者,warrior_hero,162,0,0.0
4,失败|观众,parenting,10,1,0.1
4,失败|观众,peer_worker,10,0,0.0
4,失败|观众,pet_cute,10,0,0.0
4,失败|观众,species_competition,10,5,0.5
4,失败|观众,tool_toy,10,9,0.9
4,失败|观众,warrior_hero,10,0,0.0
4,弱势|同伴,parenting,33,5,0.15151515151515152
4,弱势|同伴,peer_worker,33,1,0.030303030303030304
4,弱势|同伴,pet_cute,33,0,0.0
4,弱势|同伴,species_competition,33,3,0.09090909090909091
4,弱势|同伴,tool_toy,33,15,0.45454545454545453
4,弱势|同伴,warrior_hero,33,1,0.030303030303030304
4,弱势|观众,parenting,99,5,0.050505050505050504
4,弱势|观众,peer_worker,99,0,0.0
4,弱势|观众,pet_cute,99,9,0.09090909090909091
4,弱势|观众,species_competition,99,7,0.0707070707070707
4,弱势|观众,tool_toy,99,68,0.6868686868686869
4,弱势|观众,warrior_hero,99,1,0.010101010101010102
4,强势|服务者,parenting,848,13,0.015330188679245283
4,强势|服务者,peer_worker,848,12,0.014150943396226415
4,强势|服务者,pet_cute,848,3,0.003537735849056604
4,强势|服务者,species_competition,848,56,0.0660377358490566
4,强势|服务者,tool_toy,848,688,0.8113207547169812
4,强势|服务者,warrior_hero,848,9,0.01061320754716981
4,成功|服务者,parenting,1,0,0.0
4,成功|服务者,peer_worker,1,0,0.0
4,成功|服务者,pet_cute,1,0,0.0
4,成功|服务者,species_competition,1,0,0.0
4,成功|服务者,tool_toy,1,0,0.0
4,成功|服务者,warrior_hero,1,0,0.0
4,成功|被超越者,parenting,54,1,0.018518518518518517
4,成功|被超越者,peer_worker,54,0,0.0
4,成功|被超越者,pet_cute,54,0,0.0
4,成功|被超越者,species_competition,54,6,0.1111111111111111
4,成功|被超越者,tool_toy,54,37,0.6851851851851852
4,成功|被超越者,warrior_hero,54,3,0.05555555555555555
4,成功|观众,parenting,463,13,0.028077753779697623
4,成功|观众,peer_worker,463,11,0.023758099352051837
4,成功|观众,pet_cute,463,1,0.0021598272138228943
4,成功|观众,species_competition,463,23,0.04967602591792657
4,成功|观众,tool_toy,463,341,0.7365010799136069
4,成功|观众,warrior_hero,463,6,0.012958963282937365
5,all,parenting,456,9,0.019736842105263157
5,all,peer_worker,456,5,0.010964912280701754
5,all,pet_cute,456,51,0.1118421052631579
5,all,species_competition,456,4,0.008771929824561403
5,all,tool_toy,456,3,0.006578947368421052
5,all,warrior_hero,456,1,0.0021929824561403508
5,中性|观众,parenting,448,9,0.020089285714285716
5,中性|观众,peer_worker,448,4,0.008928571428571428
5,中性|观众,pet_cute,448,56,0.125
5,中性|观众,species_competition,448,4,0.008928571428571428
5,中性|观众,tool_toy,448,3,0.006696428571428571
5,中性|观众,warrior_hero,448,1,0.002232142857142857
5,中性|评价者,parenting,18,1,0.05555555555555555
5,中性|评价者,peer_worker,18,0,0.0
5,中性|评价者,pet_cute,18,0,0.0
5,中性|评价者,species_competition,18,0,0.0
5,中性|评价者,tool_toy,18,1,0.05555555555555555
5,中性|评价者,warrior_hero,18,0,0.0
5,失败|抢救者,parenting,256,1,0.00390625
5,失败|抢救者,peer_worker,256,2,0.0078125
5,失败|抢救者,pet_cute,256,3,0.01171875
5,失败|抢救者,species_competition,256,1,0.00390625
5,失败|抢救者,tool_toy,256,6,0.0234375
5,失败|抢救者,warrior_hero,256,1,0.00390625
5,失败|观众,parenting,17,0,0.0
5,失败|观众,peer_worker,17,0,0.0
5,失败|观众,pet_cute,17,0,0.0
5,失败|观众,species_competition,17,0,0.0
5,失败|观众,tool_toy,17,0,0.0
5,失败|观众,warrior_hero,17,0,0.0
5,弱势|同伴,parenting,76,7,0.09210526315789473
5,弱势|同伴,peer_worker,76,0,0.0
5,弱势|同伴,pet_cute,76,2,0.02631578947368421
5,弱势|同伴,species_competition,76,2,0.02631578947368421
5,弱势|同伴,tool_toy,76,0,0.0
5,弱势|同伴,warrior_hero,76,0,0.0
5,弱势|观众,parenting,271,23,0.08487084870848709
5,弱势|观众,peer_worker,271,0,0.0
5,弱势|观众,pet_cute,271,72,0.2656826568265683
5,弱势|观众,species_competition,271,0,0.0
5,弱势|观众,tool_toy,271,5,0.01845018450184502
5,弱势|观众,warrior_hero,271,0,0.0
5,弱势|评价者,parenting,2,0,0.0
5,弱势|评价者,peer_worker,2,0,0.0
5,弱势|评价者,pet_cute,2,0,0.0
5,弱势|评价者,species_competition,2,0,0.0
5,弱势|评价者,tool_toy,2,0,0.0
5,弱势|评价者,warrior_hero,2,0,0.0
5,强势|服务者,parenting,982,6,0.006109979633401222
5,强势|服务者,peer_worker,982,4,0.004073319755600814
5,强势|服务者,pet_cute,982,7,0.007128309572301426
5,强势|服务者,species_competition,982,21,0.021384928716904276
5,强势|服务者,tool_toy,982,66,0.06720977596741344
5,强势|服务者,warrior_hero,982,17,0.017311608961303463
5,成功|服务者,parenting,3,0,0.0
5,成功|服务者,peer_worker,3,0,0.0
5,成功|服务者,pet_cute,3,0,0.0
5,成功|服务者,species_competition,3,0,0.0
5,成功|服务者,tool_toy,3,0,0.0
5,成功|服务者,warrior_hero,3,0,0.0
5,成功|被超越者,parenting,80,0,0.0
5,成功|被超越者,peer_worker,80,1,0.0125
5,成功|被超越者,pet_cute,80,1,0.0125
5,成功|被超越者,species_competition,80,3,0.0375
5,成功|被超越者,tool_toy,80,1,0.0125
5,成功|被超越者,warrior_hero,80,1,0.0125
5,成功|观众,parenting,571,7,0.012259194395796848
5,成功|观众,peer_worker,571,8,0.014010507880910683
5,成功|观众,pet_cute,571,8,0.014010507880910683
5,成功|观众,species_competition,571,15,0.02626970227670753
5,成功|观众,tool_toy,571,25,0.043782837127845885
5,成功|观众,warrior_hero,571,9,0.01576182136602452
6,all,parenting,109,1,0.009174311926605505
6,all,peer_worker,109,0,0.0
6,all,pet_cute,109,4,0.03669724770642202
6,all,species_competition,109,0,0.0
6,all,tool_toy,109,0,0.0
6,all,warrior_hero,109,0,0.0
6,中性|观众,parenting,187,2,0.0106951871657754
6,中性|观众,peer_worker,187,0,0.0
6,中性|观众,pet_cute,187,2,0.0106951871657754
6,中性|观众,species_competition,187,0,0.0
6,中性|观众,tool_toy,187,2,0.0106951871657754
6,中性|观众,warrior_hero,187,0,0.0
6,中性|评价者,parenting,3,0,0.0
6,中性|评价者,peer_worker,3,0,0.0
6,中性|评价者,pet_cute,3,0,0.0
6,中性|评价者,species_competition,3,0,0.0
6,中性|评价者,tool_toy,3,0,0.0
6,中性|评价者,warrior_hero,3,0,0.0
6,失败|抢救者,parenting,52,1,0.019230769230769232
6,失败|抢救者,peer_worker,52,0,0.0
6,失败|抢救者,pet_cute,52,1,0.019230769230769232
6,失败|抢救者,species_competition,52,0,0.0
6,失败|抢救者,tool_toy,52,1,0.019230769230769232
6,失败|抢救者,warrior_hero,52,0,0.0
6,失败|观众,parenting,1,0,0.0
6,失败|观众,peer_worker,1,0,0.0
6,失败|观众,pet_cute,1,0,0.0
6,失败|观众,species_competition,1,0,0.0
6,失败|观众,tool_toy,1,0,0.0
6,失败|观众,warrior_hero,1,0,0.0
6,弱势|同伴,parenting,29,0,0.0
6,弱势|同伴,peer_worker,29,0,0.0
6,弱势|同伴,pet_cute,29,1,0.034482758620689655
6,弱势|同伴,species_competition,29,0,0.0
6,弱势|同伴,tool_toy,29,0,0.0
6,弱势|同伴,warrior_hero,29,0,0.0
6,弱势|观众,parenting,38,1,0.02631578947368421
6,弱势|观众,peer_worker,38,0,0.0
6,弱势|观众,pet_cute,38,7,0.18421052631578946
6,弱势|观众,species_competition,38,0,0.0
6,弱势|观众,tool_toy,38,0,0.0
6,弱势|观众,warrior_hero,38,0,0.0
6,强势|服务者,parenting,15,0,0.0
6,强势|服务者,peer_worker,15,0,0.0
6,强势|服务者,pet_cute,15,0,0.0
6,强势|服务者,species_competition,15,0,0.0
6,强势|服务者,tool_toy,15,1,0.06666666666666667
6,强势|服务者,warrior_hero,15,0,0.0
6,成功|被超越者,parenting,16,0,0.0
6,成功|被超越者,peer_worker,16,0,0.0
6,成功|被超越者,pet_cute,16,1,0.0625
6,成功|被超越者,species_competition,16,0,0.0
6,成功|被超越者,tool_toy,16,0,0.0
6,成功|被超越者,warrior_hero,16,0,0.0
6,成功|观众,parenting,55,0,0.0
6,成功|观众,peer_worker,55,0,0.0
6,成功|观众,pet_cute,55,2,0.03636363636363636
6,成功|观众,species_competition,55,0,0.0
6,成功|观众,tool_toy,55,2,0.03636363636363636
6,成功|观众,warrior_hero,55,0,0.0
7,all,parenting,78,1,0.01282051282051282
7,all,peer_worker,78,1,0.01282051282051282
7,all,pet_cute,78,1,0.01282051282051282
7,all,species_competition,78,2,0.02564102564102564
7,all,tool_toy,78,3,0.038461538461538464
7,all,warrior_hero,78,0,0.0
7,中性|观众,parenting,53,1,0.018867924528301886
7,中性|观众,peer_worker,53,0,0.0
7,中性|观众,pet_cute,53,1,0.018867924528301886
7,中性|观众,species_competition,53,0,0.0
7,中性|观众,tool_toy,53,0,0.0
7,中性|观众,warrior_hero,53,0,0.0
7,中性|评价者,parenting,3,0,0.0
7,中性|评价者,peer_worker,3,0,0.0
7,中性|评价者,pet_cute,3,0,0.0
7,中性|评价者,species_competition,3,0,0.0
7,中性|评价者,tool_toy,3,0,0.0
7,中性|评价者,warrior_hero,3,0,0.0
7,失败|抢救者,parenting,69,0,0.0
7,失败|抢救者,peer_worker,69,0,0.0
7,失败|抢救者,pet_cute,69,0,0.0
7,失败|抢救者,species_competition,69,0,0.0
7,失败|抢救者,tool_toy,69,2,0.028985507246376812
7,失败|抢救者,warrior_hero,69,0,0.0
7,失败|观众,parenting,1,0,0.0
7,失败|观众,peer_worker,1,0,0.0
7,失败|观众,pet_cute,1,0,0.0
7,失败|观众,species_competition,1,0,0.0
7,失败|观众,tool_toy,1,0,0.0
7,失败|观众,warrior_hero,1,0,0.0
7,弱势|同伴,parenting,14,0,0.0
7,弱势|同伴,peer_worker,14,0,0.0
7,弱势|同伴,pet_cute,14,1,0.07142857142857142
7,弱势|同伴,species_competition,14,2,0.14285714285714285
7,弱势|同伴,tool_toy,14,0,0.0
7,弱势|同伴,warrior_hero,14,0,0.0
7,弱势|观众,parenting,49,6,0.12244897959183673
7,弱势|观众,peer_worker,49,0,0.0
7,弱势|观众,pet_cute,49,4,0.08163265306122448
7,弱势|观众,species_competition,49,1,0.02040816326530612
7,弱势|观众,tool_toy,49,3,0.061224489795918366
7,弱势|观众,warrior_hero,49,0,0.0
7,强势|服务者,parenting,125,2,0.016
7,强势|服务者,peer_worker,125,0,0.0
7,强势|服务者,pet_cute,125,2,0.016
7,强势|服务者,species_competition,125,3,0.024
7,强势|服务者,tool_toy,125,8,0.064
7,强势|服务者,warrior_hero,125,0,0.0
7,成功|被超越者,parenting,24,1,0.041666666666666664
7,成功|被超越者,peer_worker,24,1,0.041666666666666664
7,成功|被超越者,pet_cute,24,0,0.0
7,成功|被超越者,species_competition,24,0,0.0
7,成功|被超越者,tool_toy,24,1,0.041666666666666664
7,成功|被超越者,warrior_hero,24,0,0.0
7,成功|观众,parenting,201,1,0.004975124378109453
7,成功|观众,peer_worker,201,2,0.009950248756218905
7,成功|观众,pet_cute,201,1,0.004975124378109453
7,成功|观众,species_competition,201,4,0.01990049751243781
7,成功|观众,tool_toy,201,7,0.03482587064676617
7,成功|观众,warrior_hero,201,2,0.009950248756218905
8,all,parenting,20,0,0.0
8,all,peer_worker,20,0,0.0
8,all,pet_cute,20,1,0.05
8,all,species_competition,20,0,0.0
8,all,tool_toy,20,0,0.0
8,all,warrior_hero,20,0,0.0
8,中性|观众,parenting,56,0,0.0
8,中性|观众,peer_worker,56,0,0.0
8,中性|观众,pet_cute,56,0,0.0
8,中性|观众,species_competition,56,0,0.0
8,中性|观众,tool_toy,56,0,0.0
8,中性|观众,warrior_hero,56,0,0.0
8,中性|评价者,parenting,2,0,0.0
8,中性|评价者,peer_worker,2,0,0.0
8,中性|评价者,pet_cute,2,0,0.0
8,中性|评价者,species_competition,2,0,0.0
8,中性|评价者,tool_toy,2,0,0.0
8,中性|评价者,warrior_hero,2,0,0.0
8,失败|抢救者,parenting,13,0,0.0
8,失败|抢救者,peer_worker,13,0,0.0
8,失败|抢救者,pet_cute,13,0,0.0
8,失败|抢救者,species_competition,13,0,0.0
8,失败|抢救者,tool_toy,13,0,0.0
8,失败|抢救者,warrior_hero,13,0,0.0
8,弱势|同伴,parenting,10,0,0.0
8,弱势|同伴,peer_worker,10,0,0.0
8,弱势|同伴,pet_cute,10,0,0.0
8,弱势|同伴,species_competition,10,0,0.0
8,弱势|同伴,tool_toy,10,0,0.0
8,弱势|同伴,warrior_hero,10,0,0.0
8,弱势|观众,parenting,11,0,0.0
8,弱势|观众,peer_worker,11,0,0.0
8,弱势|观众,pet_cute,11,2,0.18181818181818182
8,弱势|观众,species_competition,11,0,0.0
8,弱势|观众,tool_toy,11,0,0.0
8,弱势|观众,warrior_hero,11,0,0.0
8,强势|服务者,parenting,4,0,0.0
8,强势|服务者,peer_worker,4,0,0.0
8,强势|服务者,pet_cute,4,0,0.0
8,强势|服务者,species_competition,4,0,0.0
8,强势|服务者,tool_toy,4,0,0.0
8,强势|服务者,warrior_hero,4,0,0.0
8,成功|被超越者,parenting,3,0,0.0
8,成功|被超越者,peer_worker,3,0,0.0
8,成功|被超越者,pet_cute,3,0,0.0
8,成功|被超越者,species_competition,3,0,0.0
8,成功|被超越者,tool_toy,3,0,0.0
8,成功|被超越者,warrior_hero,3,0,0.0
8,成功|观众,parenting,19,0,0.0
8,成功|观众,peer_worker,19,0,0.0
8,成功|观众,pet_cute,19,0,0.0
8,成功|观众,species_competition,19,0,0.0
8,成功|观众,tool_toy,19,0,0.0
8,成功|观众,warrior_hero,19,0,0.0
9,all,parenting,564,14,0.024822695035460994
9,all,peer_worker,564,3,0.005319148936170213
9,all,pet_cute,564,6,0.010638297872340425
9,all,species_competition,564,3,0.005319148936170213
9,all,tool_toy,564,11,0.01950354609929078
9,all,warrior_hero,564,3,0.005319148936170213
9,中性|观众,parenting,675,14,0.02074074074074074
9,中性|观众,peer_worker,675,3,0.0044444444444444444
9,中性|观众,pet_cute,675,2,0.002962962962962963
9,中性|观众,species_competition,675,2,0.002962962962962963
9,中性|观众,tool_toy,675,7,0.01037037037037037
9,中性|观众,warrior_hero,675,0,0.0
9,中性|评价者,parenting,18,0,0.0
9,中性|评价者,peer_worker,18,0,0.0
9,中性|评价者,pet_cute,18,0,0.0
9,中性|评价者,species_competition,18,1,0.05555555555555555
9,中性|评价者,tool_toy,18,2,0.1111111111111111
9,中性|评价者,warrior_hero,18,0,0.0
9,失败|抢救者,parenting,438,4,0.0091324200913242
9,失败|抢救者,peer_worker,438,2,0.0045662100456621
9,失败|抢救者,pet_cute,438,0,0.0
9,失败|抢救者,species_competition,438,2,0.0045662100456621
9,失败|抢救者,tool_toy,438,9,0.02054794520547945
9,失败|抢救者,warrior_hero,438,1,0.00228310502283105
9,失败|观众,parenting,14,0,0.0
9,失败|观众,peer_worker,14,0,0.0
9,失败|观众,pet_cute,14,0,0.0
9,失败|观众,species_competition,14,1,0.07142857142857142
9,失败|观众,tool_toy,14,0,0.0
9,失败|观众,warrior_hero,14,0,0.0
9,弱势|同伴,parenting,181,11,0.06077348066298342
9,弱势|同伴,peer_worker,181,0,0.0
9,弱势|同伴,pet_cute,181,2,0.011049723756906077
9,弱势|同伴,species_competition,181,0,0.0
9,弱势|同伴,tool_toy,181,0,0.0
9,弱势|同伴,warrior_hero,181,1,0.0055248618784530384
9,弱势|观众,parenting,311,24,0.07717041800643087
9,弱势|观众,peer_worker,311,0,0.0
9,弱势|观众,pet_cute,311,5,0.01607717041800643
9,弱势|观众,species_competition,311,4,0.012861736334405145
9,弱势|观众,tool_toy,311,1,0.003215434083601286
9,弱势|观众,warrior_hero,311,2,0.006430868167202572
9,弱势|评价者,parenting,1,0,0.0
