robot_status,topic,mean_share_post_averaged,n_posts_in_status
弱势,13,0.002737226277372263,4
弱势,14,0.02664970577096618,4
弱势,15,0.009259021280970494,4
弱势,16,0.054173377654409834,4
弱势,17,0.01721368356122134,4
弱势,18,0.012196643583504897,4
弱势,19,0.03913609707405328,4
弱势,20,0.0,4
弱势,21,0.007402680792472096,4
弱势,22,0.05058036314461729,4
弱势,23,0.002136752136752137,4
弱势,24,0.002136752136752137,4
弱势,25,0.002281021897810219,4
弱势,26,0.0,4
弱势,27,0.0,4
弱势,28,0.0,4
弱势,29,0.0004562043795620438,4
弱势,30,0.0004562043795620438,4
强势,0,0.42302787392967756,1
强势,1,0.23665512843869557,1
强势,2,0.10092913098925123,1
强势,3,0.008016032064128256,1
强势,4,0.0375296046638732,1
强势,5,0.012206230643104391,1
强势,6,0.015485516487520496,1
强势,7,0.038622699945345236,1
强势,8,0.008380397157952269,1
强势,9,0.010384405173984331,1
强势,10,0.004554563672800146,1
强势,11,0.0012752778283840408,1
强势,12,0.012934960830752414,1
强势,13,0.0012752778283840408,1
强势,14,0.010202222627072327,1
强势,15,0.0,1
强势,16,0.0005465476407360175,1
强势,17,0.005829841501184187,1
强势,18,0.007287301876480233,1
强势,19,0.0016396429222080525,1
强势,20,0.004918928766624158,1
强势,21,0.010202222627072327,1
强势,22,0.0018218254691200583,1
强势,23,0.0009109127345600292,1
强势,24,0.020404445254144653,1
强势,25,0.01439242120604846,1
强势,26,0.0,1
强势,27,0.008380397157952269,1
强势,28,0.0007287301876480233,1
强势,29,0.0012752778283840408,1
强势,30,0.00018218254691200583,1
成功,0,0.3085675026351585,4
成功,1,0.019871232956716292,4
成功,2,0.10545970921344634,4
成功,3,0.05160313901040288,4
成功,4,0.03284171972578572,4
成功,5,0.012448148161247487,4
成功,6,0.09342483633813498,4
成功,7,0.036488533761814684,4
成功,8,0.041592155366931144,4
成功,9,0.024387951963801814,4
成功,10,0.07347238119024188,4
成功,11,0.0026751291007741014,4
成功,12,0.06580825976518591,4
成功,13,0.005415689393100533,4
成功,14,0.014347330439125368,4
成功,15,0.00020300446609825416,4
成功,16,0.009228881391432605,4
成功,17,0.028034193533584523,4
成功,18,0.00680037188314234,4
成功,19,0.003958587088915956,4
成功,20,0.015797999583017853,4
成功,21,0.01428189924757304,4
成功,22,0.0030087182188278413,4
成功,23,0.01414404824187794,4
成功,24,0.002602709286631333,4
成功,25,0.002639058059277304,4
成功,26,0.002167617935528466,4
成功,27,0.00020300446609825416,4
成功,28,0.0003045066991473812,4
成功,29,0.0005075111652456354,4
成功,30,0.007714169711733658,4
