excluded_post_id,robot_status,topic,delta_mean_share
69df625d0000000021005c63,失败,0,-0.0033072711304188707
69df625d0000000021005c63,失败,1,-0.0014958332202663072
69df625d0000000021005c63,失败,2,0.008933300512168285
69df625d0000000021005c63,失败,3,0.008409219156932851
69df625d0000000021005c63,失败,4,-0.006053319266162802
69df625d0000000021005c63,失败,5,-0.01886389426235799
69df625d0000000021005c63,失败,6,0.012377798210104873
69df625d0000000021005c63,常态,0,0.0
69df625d0000000021005c63,常态,1,0.0
69df625d0000000021005c63,常态,2,0.0
69df625d0000000021005c63,常态,3,0.0
69df625d0000000021005c63,常态,4,0.0
69df625d0000000021005c63,常态,5,0.0
69df625d0000000021005c63,常态,6,0.0
69df625d0000000021005c63,弱势,0,0.0
69df625d0000000021005c63,弱势,1,0.0
69df625d0000000021005c63,弱势,2,0.0
69df625d0000000021005c63,弱势,3,0.0
69df625d0000000021005c63,弱势,4,0.0
69df625d0000000021005c63,弱势,5,0.0
69df625d0000000021005c63,弱势,6,0.0
69df625d0000000021005c63,强势,0,0.0
69df625d0000000021005c63,强势,1,0.0
69df625d0000000021005c63,强势,2,0.0
69df625d0000000021005c63,强势,3,0.0
69df625d0000000021005c63,强势,4,0.0
69df625d0000000021005c63,强势,5,0.0
69df625d0000000021005c63,强势,6,0.0
69df625d0000000021005c63,混合,0,0.0
69df625d0000000021005c63,混合,1,0.0
69df625d0000000021005c63,混合,2,0.0
69df625d0000000021005c63,混合,3,0.0
69df625d0000000021005c63,混合,4,0.0
69df625d0000000021005c63,混合,5,0.0
69df625d0000000021005c63,混合,6,0.0
69e2583b00000000230211ea,失败,0,0.002198301946005704
69e2583b00000000230211ea,失败,1,0.0016118409203710327
69e2583b00000000230211ea,失败,2,-0.013315263016582729
69e2583b00000000230211ea,失败,3,-0.0023061723264847234
69e2583b00000000230211ea,失败,4,0.0008354424164166568
69e2583b00000000230211ea,失败,5,0.000525587455935228
69e2583b00000000230211ea,失败,6,0.010450262604338817
69e2583b00000000230211ea,常态,0,0.0
69e2583b00000000230211ea,常态,1,0.0
69e2583b00000000230211ea,常态,2,0.0
69e2583b00000000230211ea,常态,3,0.0
69e2583b00000000230211ea,常态,4,0.0
69e2583b00000000230211ea,常态,5,0.0
69e2583b00000000230211ea,常态,6,0.0
69e2583b00000000230211ea,弱势,0,0.0
69e2583b00000000230211ea,弱势,1,0.0
69e2583b00000000230211ea,弱势,2,0.0
69e2583b00000000230211ea,弱势,3,0.0
69e2583b00000000230211ea,弱势,4,0.0
69e2583b00000000230211ea,弱势,5,0.0
69e2583b00000000230211ea,弱势,6,0.0
69e2583b00000000230211ea,强势,0,0.0
69e2583b00000000230211ea,强势,1,0.0
69e2583b00000000230211ea,强势,2,0.0
69e2583b00000000230211ea,强势,3,0.0
69e2583b00000000230211ea,强势,4,0.0
69e2583b00000000230211ea,强势,5,0.0
69e2583b00000000230211ea,强势,6,0.0
69e2583b00000000230211ea,混合,0,0.0
69e2583b00000000230211ea,混合,1,0.0
69e2583b00000000230211ea,混合,2,0.0
69e2583b00000000230211ea,混合,3,0.0
69e2583b00000000230211ea,混合,4,0.0
69e2583b00000000230211ea,混合,5,0.0
69e2583b00000000230211ea,混合,6,0.0
69e40352000000002102fc75,失败,0,0.0
69e40352000000002102fc75,失败,1,0.0
69e40352000000002102fc75,失败,2,0.0
69e40352000000002102fc75,失败,3,0.0
69e40352000000002102fc75,失败,4,0.0
69e40352000000002102fc75,失败,5,0.0
69e40352000000002102fc75,失败,6,0.0
69e40352000000002102fc75,常态,0,0.008948989349904457
69e40352000000002102fc75,常态,1,-0.012121588146033924
69e40352000000002102fc75,常态,2,-0.0017709466089265852
69e40352000000002102fc75,常态,3,0.011486338187818662
69e40352000000002102fc75,常态,4,0.00882886378569081
69e40352000000002102fc75,常态,5,-0.008104473503579457
69e40352000000002102fc75,常态,6,-0.00726718306487395
69e40352000000002102fc75,弱势,0,0.0
69e40352000000002102fc75,弱势,1,0.0
69e40352000000002102fc75,弱势,2,0.0
69e40352000000002102fc75,弱势,3,0.0
69e40352000000002102fc75,弱势,4,0.0
69e40352000000002102fc75,弱势,5,0.0
69e40352000000002102fc75,弱势,6,0.0
69e40352000000002102fc75,强势,0,0.0
69e40352000000002102fc75,强势,1,0.0
69e40352000000002102fc75,强势,2,0.0
69e40352000000002102fc75,强势,3,0.0
69e40352000000002102fc75,强势,4,0.0
69e40352000000002102fc75,强势,5,0.0
69e40352000000002102fc75,强势,6,0.0
69e40352000000002102fc75,混合,0,0.0
69e40352000000002102fc75,混合,1,0.0
69e40352000000002102fc75,混合,2,0.0
69e40352000000002102fc75,混合,3,0.0
69e40352000000002102fc75,混合,4,0.0
69e40352000000002102fc75,混合,5,0.0
69e40352000000002102fc75,混合,6,0.0
69e41e24000000001a025f1a,失败,0,-0.009044203050663169
69e41e24000000001a025f1a,失败,1,-0.004403593234636724
69e41e24000000001a025f1a,失败,2,-0.0008902130498938676
69e41e24000000001a025f1a,失败,3,-0.011103085495483167
69e41e24000000001a025f1a,失败,4,0.009282588763296531
69e41e24000000001a025f1a,失败,5,0.010707688277609678
69e41e24000000001a025f1a,失败,6,0.005450817789770773
69e41e24000000001a025f1a,常态,0,0.0
69e41e24000000001a025f1a,常态,1,0.0
69e41e24000000001a025f1a,常态,2,0.0
69e41e24000000001a025f1a,常态,3,0.0
69e41e24000000001a025f1a,常态,4,0.0
69e41e24000000001a025f1a,常态,5,0.0
69e41e24000000001a025f1a,常态,6,0.0
69e41e24000000001a025f1a,弱势,0,0.0
69e41e24000000001a025f1a,弱势,1,0.0
69e41e24000000001a025f1a,弱势,2,0.0
69e41e24000000001a025f1a,弱势,3,0.0
69e41e24000000001a025f1a,弱势,4,0.0
69e41e24000000001a025f1a,弱势,5,0.0
69e41e24000000001a025f1a,弱势,6,0.0
69e41e24000000001a025f1a,强势,0,0.0
69e41e24000000001a025f1a,强势,1,0.0
69e41e24000000001a025f1a,强势,2,0.0
69e41e24000000001a025f1a,强势,3,0.0
69e41e24000000001a025f1a,强势,4,0.0
69e41e24000000001a025f1a,强势,5,0.0
69e41e24000000001a025f1a,强势,6,0.0
69e41e24000000001a025f1a,混合,0,0.0
69e41e24000000001a025f1a,混合,1,0.0
69e41e24000000001a025f1a,混合,2,0.0
69e41e24000000001a025f1a,混合,3,0.0
69e41e24000000001a025f1a,混合,4,0.0
69e41e24000000001a025f1a,混合,5,0.0
69e41e24000000001a025f1a,混合,6,0.0
69e429b4000000001b00037a,失败,0,0.0
69e429b4000000001b00037a,失败,1,0.0
69e429b4000000001b00037a,失败,2,0.0
69e429b4000000001b00037a,失败,3,0.0
69e429b4000000001b00037a,失败,4,0.0
69e429b4000000001b00037a,失败,5,0.0
69e429b4000000001b00037a,失败,6,0.0
69e429b4000000001b00037a,常态,0,-0.0070693172862511255
69e429b4000000001b00037a,常态,1,0.0025019271639802193
69e429b4000000001b00037a,常态,2,0.0004520020671113234
69e429b4000000001b00037a,常态,3,0.008980072523658261
69e429b4000000001b00037a,常态,4,-0.0006295648947058363
69e429b4000000001b00037a,常态,5,-0.008878146817298566
69e429b4000000001b00037a,常态,6,0.00464302724350571
69e429b4000000001b00037a,弱势,0,0.0
69e429b4000000001b00037a,弱势,1,0.0
69e429b4000000001b00037a,弱势,2,0.0
69e429b4000000001b00037a,弱势,3,0.0
69e429b4000000001b00037a,弱势,4,0.0
69e429b4000000001b00037a,弱势,5,0.0
69e429b4000000001b00037a,弱势,6,0.0
69e429b4000000001b00037a,强势,0,0.0
69e429b4000000001b00037a,强势,1,0.0
69e429b4000000001b00037a,强势,2,0.0
69e429b4000000001b00037a,强势,3,0.0
69e429b4000000001b00037a,强势,4,0.0
69e429b4000000001b00037a,强势,5,0.0
69e429b4000000001b00037a,强势,6,0.0
69e429b4000000001b00037a,混合,0,0.0
69e429b4000000001b00037a,混合,1,0.0
69e429b4000000001b00037a,混合,2,0.0
69e429b4000000001b00037a,混合,3,0.0
69e429b4000000001b00037a,混合,4,0.0
69e429b4000000001b00037a,混合,5,0.0
69e429b4000000001b00037a,混合,6,0.0
69e42cc100000000220001ad,失败,0,0.0
69e42cc100000000220001ad,失败,1,0.0
69e42cc100000000220001ad,失败,2,0.0
69e42cc100000000220001ad,失败,3,0.0
69e42cc100000000220001ad,失败,4,0.0
69e42cc100000000220001ad,失败,5,0.0
69e42cc100000000220001ad,失败,6,0.0
69e42cc100000000220001ad,常态,0,0.0
69e42cc100000000220001ad,常态,1,0.0
69e42cc100000000220001ad,常态,2,0.0
69e42cc100000000220001ad,常态,3,0.0
69e42cc100000000220001ad,常态,4,0.0
69e42cc100000000220001ad,常态,5,0.0
69e42cc100000000220001ad,常态,6,0.0
69e42cc100000000220001ad,弱势,0,-0.012127367028081038
69e42cc100000000220001ad,弱势,1,-0.0025174647563767083
69e42cc100000000220001ad,弱势,2,-0.005895437229951311
69e42cc100000000220001ad,弱势,3,-0.0024674363113187936
69e42cc100000000220001ad,弱势,4,0.0068548155074946715
69e42cc100000000220001ad,弱势,5,0.00828879184492301
69e42cc100000000220001ad,弱势,6,0.007864097973310114
69e42cc100000000220001ad,强势,0,0.0
69e42cc100000000220001ad,强势,1,0.0
69e42cc100000000220001ad,强势,2,0.0
69e42cc100000000220001ad,强势,3,0.0
69e42cc100000000220001ad,强势,4,0.0
69e42cc100000000220001ad,强势,5,0.0
69e42cc100000000220001ad,强势,6,0.0
69e42cc100000000220001ad,混合,0,0.0
69e42cc100000000220001ad,混合,1,0.0
69e42cc100000000220001ad,混合,2,0.0
69e42cc100000000220001ad,混合,3,0.0
69e42cc100000000220001ad,混合,4,0.0
69e42cc100000000220001ad,混合,5,0.0
69e42cc100000000220001ad,混合,6,0.0
69e43a5a000000001d01dcc7,失败,0,0.0
69e43a5a000000001d01dcc7,失败,1,0.0
69e43a5a000000001d01dcc7,失败,2,0.0
69e43a5a000000001d01dcc7,失败,3,0.0
69e43a5a000000001d01dcc7,失败,4,0.0
