topic_id,帖子id,raw_count,share_raw
51,69e4412a000000002103883f,2,0.021052631578947368
51,69e634590000000022003bb5,2,0.021052631578947368
52,69e59e520000000022027a90,15,0.16666666666666666
52,69df625d0000000021005c63,10,0.1111111111111111
52,69da7e87000000001a03484e,8,0.08888888888888889
52,69e429b4000000001b00037a,8,0.08888888888888889
52,69e48341000000001a02d0c4,7,0.07777777777777778
53,69da7e87000000001a03484e,63,0.7411764705882353
53,69e481e8000000002003ad94,7,0.08235294117647059
53,69e43b14000000001a02e095,5,0.058823529411764705
53,69e44171000000001a026b25,2,0.023529411764705882
53,69e47f8f000000001f007203,2,0.023529411764705882
54,69e481e8000000002003ad94,44,0.5176470588235295
54,69e43b14000000001a02e095,37,0.43529411764705883
54,69da7e87000000001a03484e,1,0.011764705882352941
54,69df625d0000000021005c63,1,0.011764705882352941
54,69e42cc100000000220001ad,1,0.011764705882352941
55,69e481e8000000002003ad94,41,0.4880952380952381
55,69da7e87000000001a03484e,15,0.17857142857142858
55,69e4426b000000001d01c7ed,14,0.16666666666666666
55,69e447d2000000001d01aa01,3,0.03571428571428571
55,69e2583b00000000230211ea,2,0.023809523809523808
56,69e47f8f000000001f007203,27,0.32926829268292684
56,69e40352000000002102fc75,14,0.17073170731707318
56,69e4b08d000000001d01c1bc,7,0.08536585365853659
56,69e4426b000000001d01c7ed,6,0.07317073170731707
56,69e59e520000000022027a90,4,0.04878048780487805
57,69e481e8000000002003ad94,61,0.7625
57,69e43b14000000001a02e095,12,0.15
57,69da7e87000000001a03484e,1,0.0125
57,69df625d0000000021005c63,1,0.0125
57,69e2583b00000000230211ea,1,0.0125
58,69e481e8000000002003ad94,36,0.46153846153846156
58,69da7e87000000001a03484e,29,0.3717948717948718
58,69e4551e000000001f005895,4,0.05128205128205128
58,69df625d0000000021005c63,3,0.038461538461538464
58,69e2583b00000000230211ea,2,0.02564102564102564
59,69e48341000000001a02d0c4,75,0.974025974025974
59,69da7e87000000001a03484e,1,0.012987012987012988
59,69e481e8000000002003ad94,1,0.012987012987012988
60,69e481e8000000002003ad94,34,0.4657534246575342
60,69da7e87000000001a03484e,7,0.0958904109589041
60,69e47f8f000000001f007203,5,0.0684931506849315
60,69e59e520000000022027a90,5,0.0684931506849315
60,69e42cc100000000220001ad,3,0.0410958904109589
61,69e46032000000001f002048,67,0.9305555555555556
61,69e481e8000000002003ad94,3,0.041666666666666664
61,69e429b4000000001b00037a,1,0.013888888888888888
61,69e42cc100000000220001ad,1,0.013888888888888888
62,69e481e8000000002003ad94,52,0.7536231884057971
62,69e48341000000001a02d0c4,4,0.057971014492753624
62,69e47f8f000000001f007203,3,0.043478260869565216
62,69da7e87000000001a03484e,2,0.028985507246376812
62,69e4b08d000000001d01c1bc,2,0.028985507246376812
63,69e4426b000000001d01c7ed,16,0.2318840579710145
63,69e42cc100000000220001ad,9,0.13043478260869565
63,69e47f8f000000001f007203,8,0.11594202898550725
63,69e48341000000001a02d0c4,8,0.11594202898550725
63,69e6f2bc0000000023005345,6,0.08695652173913043
64,69e481e8000000002003ad94,12,0.1791044776119403
64,69da7e87000000001a03484e,11,0.16417910447761194
64,69e4551e000000001f005895,8,0.11940298507462686
64,69e4426b000000001d01c7ed,7,0.1044776119402985
64,69e42cc100000000220001ad,5,0.07462686567164178
65,69e4426b000000001d01c7ed,18,0.2727272727272727
65,69e42cc100000000220001ad,16,0.24242424242424243
65,69e43b14000000001a02e095,6,0.09090909090909091
65,69e47f8f000000001f007203,5,0.07575757575757576
65,69e48d54000000002102e178,4,0.06060606060606061
66,69da7e87000000001a03484e,37,0.5692307692307692
66,69e4412a000000002103883f,13,0.2
66,69e45dbe000000001f00434f,4,0.06153846153846154
66,69e47f8f000000001f007203,3,0.046153846153846156
66,69e481e8000000002003ad94,3,0.046153846153846156
67,69e481e8000000002003ad94,38,0.5846153846153846
67,69da7e87000000001a03484e,9,0.13846153846153847
67,69e47f8f000000001f007203,4,0.06153846153846154
67,69e4b08d000000001d01c1bc,3,0.046153846153846156
67,69df625d0000000021005c63,2,0.03076923076923077
68,69e59e520000000022027a90,32,0.49230769230769234
68,69df625d0000000021005c63,9,0.13846153846153847
68,69e481e8000000002003ad94,9,0.13846153846153847
68,69e47f8f000000001f007203,5,0.07692307692307693
